,Payload,Reliability,Season,Net,Fuel,LoadValue,TransmissionType
0,268.00336236190265,88.94216892457042,0,3,13.0339552955493,1130.1503940085308,automatic
1,270.6956767732206,86.01891269080544,0,3,12.843800615986627,1137.3429356003926,manual
2,268.3468492486465,85.94596007217476,0,3,12.500422615182295,1319.9502606600643,automatic
3,253.7126968532789,87.9866046668765,0,3,11.987057922209203,1662.9796224502115,automatic
4,240.9495458252173,83.8713099098402,0,3,12.248380908147386,1674.1074151601526,manual
5,290.5534623441094,87.8506146702898,0,3,12.700266798933649,1742.6053401140289,manual
6,247.3126567206696,90.31514341347518,0,3,12.16194549116703,1760.878900894889,manual
7,279.86722047003553,87.3602846331628,0,3,12.49932308888336,1581.0923790810723,automatic
8,257.5519781045184,88.08139857244072,0,3,12.386502396486126,1113.666662651764,automatic
9,231.3765290235116,87.22570216298132,0,3,12.682036617299275,1819.5432501290404,automatic
10,283.09004803776355,84.99509636916417,0,3,12.406388222779436,1016.9548093086134,automatic
11,267.21308878707833,85.05790252319015,0,3,13.140199956319947,1070.2816514579476,manual
12,293.92805469310724,84.63214024839023,0,3,12.859455999934475,1072.2846985073215,manual
13,257.4638026132907,82.01139194002829,0,3,12.014087542224441,906.1346057815728,manual
14,292.55576208060074,85.40654971939561,0,3,12.980175779254544,1175.3957855393392,automatic
15,259.58090358306447,85.51795635195377,0,3,12.454774444385734,1497.609046298414,automatic
16,259.52817963830415,86.79838406136963,0,3,11.29834440188651,1967.9466474394985,manual
17,273.12144777804525,87.65164100429062,0,3,12.238512701031576,1057.1054982876435,manual
18,291.50030232581884,84.65906507368895,0,3,13.264829831892627,1037.8779332409013,automatic
19,270.31269351161734,80.56383714646344,0,3,12.456441668258199,1254.9735740410347,automatic
20,282.17129791055777,80.53377325817979,0,3,12.895775225386755,1103.6424330925245,automatic
21,284.07447080050764,83.43069213440229,0,3,12.100775580597642,1007.7166479519947,manual
22,288.21920742617937,83.15343893923745,0,3,13.32738140225278,1232.7539254524138,manual
23,266.76075577168524,81.07677551593238,0,3,13.004754591341984,1174.1665694043932,manual
24,262.4424829586748,82.18547600351408,0,3,13.830220263194649,896.4908279773792,manual
25,282.6729965048989,82.8432179226476,0,3,11.823268285146327,1286.9141222394705,automatic
26,256.46791729345716,82.78707550099335,0,3,12.828006067744695,1557.0038673321128,automatic
27,289.2965596685636,80.4390909519661,0,3,12.973410587988484,1107.0126271187814,automatic
